PREF,MUNI_CD,MUNI_NAME,SEQ,USE,TRUTH_LON,TRUTH_LAT,IN_MUNI,MUNI_DIST_KM,PAIR_PT,FIT_RES_M,INIT
12,12225,君津市,9,2,139.903934,35.319623,True,0.0,9.9,25.0,最大ポリゴン+アフィン+2次
13,13101,千代田区,1,1,139.744759,35.672922,True,0.0,46.4,21.0,ラベル重心+アフィン+2次
13,13102,中央区,2,1,139.775002,35.677356,True,0.0,14.1,21.0,ラベル重心+アフィン+2次
13,13103,港区,3,1,139.749327,35.667932,True,0.0,9.7,21.0,ラベル重心+アフィン+2次
13,13113,渋谷区,4,1,139.710155,35.660649,True,0.0,51.4,21.0,ラベル重心+アフィン+2次
13,13117,北区,5,3,139.72511,35.743706,True,0.0,13.7,21.0,ラベル重心+アフィン+2次
13,13201,八王子市,6,1,139.36136,35.647252,True,0.0,14.9,21.0,ラベル重心+アフィン+2次
13,13201,八王子市,7,1,139.320667,35.661345,True,0.0,35.8,21.0,ラベル重心+アフィン+2次
13,13204,三鷹市,8,1,139.550281,35.687682,True,0.0,13.7,21.0,ラベル重心+アフィン+2次
13,13210,小金井市,9,1,139.498372,35.7017,True,0.0,74.0,21.0,ラベル重心+アフィン+2次
13,13210,小金井市,10,1,139.498372,35.7017,True,0.0,74.3,21.0,ラベル重心+アフィン+2次
13,13219,狛江市,11,2,139.582792,35.627161,True,0.0,13.7,21.0,ラベル重心+アフィン+2次
13,13224,多摩市,12,2,139.420087,35.628345,True,0.0,14.1,21.0,ラベル重心+アフィン+2次
14,14366,開成町,1,1,139.12126,35.321314,True,0.0,51.9,19.0,縮尺固定 0.1411km/pt+2次
17,17201,金沢市,1,2,136.664839,36.560889,True,0.0,11.8,28.0,縮尺固定 0.2291km/pt+アフィン+2次
17,17201,金沢市,2,2,136.574425,36.562847,True,0.0,23.1,28.0,縮尺固定 0.2291km/pt+アフィン+2次
17,17202,七尾市,3,5,136.854978,37.178093,False,0.055,66.8,28.0,縮尺固定 0.2291km/pt+アフィン+2次
17,17203,小松市,4,5,136.451575,36.409559,True,0.0,8.1,28.0,縮尺固定 0.2291km/pt+アフィン+2次
17,17203,小松市,5,5,136.45398,36.390179,True,0.0,8.5,28.0,縮尺固定 0.2291km/pt+アフィン+2次
17,17203,小松市,6,5,136.441293,36.401492,True,0.0,44.3,28.0,縮尺固定 0.2291km/pt+アフィン+2次
17,17209,かほく市,7,5,136.725703,36.766199,True,0.0,11.4,28.0,縮尺固定 0.2291km/pt+アフィン+2次
17,17209,かほく市,8,2,136.696192,36.728661,True,0.0,11.3,28.0,縮尺固定 0.2291km/pt+アフィン+2次
17,17209,かほく市,9,4,136.701364,36.711469,True,0.0,8.9,28.0,縮尺固定 0.2291km/pt+アフィン+2次
17,17210,白山市,10,5,136.582882,36.524778,True,0.0,6.8,28.0,縮尺固定 0.2291km/pt+アフィン+2次
17,17210,白山市,11,5,136.575017,36.546465,True,0.0,49.6,28.0,縮尺固定 0.2291km/pt+アフィン+2次
17,17211,能美市,12,5,136.45577,36.437047,True,0.0,48.9,28.0,縮尺固定 0.2291km/pt+アフィン+2次
17,17211,能美市,13,3,136.577823,36.457114,True,0.0,6.8,28.0,縮尺固定 0.2291km/pt+アフィン+2次
17,17211,能美市,14,5,136.464063,36.436949,True,0.0,7.3,28.0,縮尺固定 0.2291km/pt+アフィン+2次
17,17361,津幡町,15,5,136.725131,36.657539,True,0.0,11.8,28.0,縮尺固定 0.2291km/pt+アフィン+2次
17,17386,宝達志水町,16,3,136.799725,36.884939,True,0.0,8.0,28.0,縮尺固定 0.2291km/pt+アフィン+2次
17,17407,中能登町,17,4,136.915433,36.991054,True,0.0,62.0,28.0,縮尺固定 0.2291km/pt+アフィン+2次
17,17407,中能登町,18,4,136.8934,36.963124,True,0.0,106.6,28.0,縮尺固定 0.2291km/pt+アフィン+2次
17,17407,中能登町,19,5,136.908178,36.99787,True,0.0,19.4,28.0,縮尺固定 0.2291km/pt+アフィン+2次
17,17407,中能登町,20,3,136.927604,36.995322,True,0.0,6.7,28.0,縮尺固定 0.2291km/pt+アフィン+2次
17,17407,中能登町,21,4,136.904417,36.958481,True,0.0,33.8,28.0,縮尺固定 0.2291km/pt+アフィン+2次
17,17407,中能登町,22,4,136.891435,36.95869,True,0.0,104.4,28.0,縮尺固定 0.2291km/pt+アフィン+2次
17,17407,中能登町,23,5,136.880508,37.005012,True,0.0,46.4,28.0,縮尺固定 0.2291km/pt+アフィン+2次
17,17407,中能登町,24,4,136.901672,36.960014,True,0.0,114.1,28.0,縮尺固定 0.2291km/pt+アフィン+2次
18,18202,敦賀市,1,3,136.057029,35.638968,True,0.0,13.7,27.0,縮尺固定 0.2117km/pt+アフィン+2次
20,20201,長野市,1,2,138.201782,36.622988,True,0.0,9.8,38.0,縮尺固定 0.3001km/pt+2次
20,20201,長野市,2,5,138.185141,36.648866,True,0.0,46.7,38.0,縮尺固定 0.3001km/pt+2次
20,20202,松本市,3,1,137.890122,36.236783,True,0.0,86.0,38.0,縮尺固定 0.3001km/pt+2次
20,20202,松本市,4,2,137.96482,36.230915,True,0.0,55.9,38.0,縮尺固定 0.3001km/pt+2次
20,20202,松本市,5,4,137.972614,36.184407,True,0.0,31.8,38.0,縮尺固定 0.3001km/pt+2次
20,20202,松本市,6,1,137.956384,36.231674,True,0.0,87.6,38.0,縮尺固定 0.3001km/pt+2次
20,20202,松本市,7,2,137.983945,36.233344,True,0.0,32.5,38.0,縮尺固定 0.3001km/pt+2次
20,20202,松本市,8,2,137.936439,36.219489,True,0.0,91.6,38.0,縮尺固定 0.3001km/pt+2次
20,20203,上田市,9,2,138.255867,36.391687,True,0.0,14.1,38.0,縮尺固定 0.3001km/pt+2次
20,20210,駒ヶ根市,10,6,138.032609,35.733405,True,0.0,14.1,38.0,縮尺固定 0.3001km/pt+2次
20,20212,大町市,11,3,137.856004,36.48789,True,0.0,19.8,38.0,縮尺固定 0.3001km/pt+2次
20,20212,大町市,12,3,137.854721,36.489802,True,0.0,72.4,38.0,縮尺固定 0.3001km/pt+2次
20,20212,大町市,13,1,137.815847,36.526716,True,0.0,14.1,38.0,縮尺固定 0.3001km/pt+2次
20,20213,飯山市,14,5,138.368707,36.858375,True,0.0,14.1,38.0,縮尺固定 0.3001km/pt+2次
20,20214,茅野市,15,1,138.156195,35.985519,True,0.0,40.3,38.0,縮尺固定 0.3001km/pt+2次
20,20214,茅野市,16,1,138.243686,36.017725,True,0.0,14.1,38.0,縮尺固定 0.3001km/pt+2次
20,20215,塩尻市,17,2,137.966049,36.136561,True,0.0,9.6,38.0,縮尺固定 0.3001km/pt+2次
