PREF,MUNI_CD,MUNI_NAME,SEQ,ADR,USE_PDF,USE_SRC,GC_LEVEL,GC_METHOD,GC_LAT,GC_LON,TRUTH_LAT,TRUTH_LON,IN_MUNI,ERROR_KM
09,09210,大田原市,1,富池地内1号井戸,4,4,town,A_normalize,36.906762,140.039231,36.897421,140.032973,True,1.178
09,09210,大田原市,2,富池地内2号井戸,4,4,town,A_normalize,36.906762,140.039231,36.896762,140.036403,True,1.14
09,09210,大田原市,3,富池地内7号井戸,4,4,town,A_normalize,36.906762,140.039231,36.896117,140.041544,True,1.201
10,10202,高崎市,1,八幡原町,3,3,town,A_normalize,36.296733,139.093859,36.300203,139.098573,True,0.572
10,10428,高山村,2,中山地内,4,4,town,A_normalize,36.621687,138.959336,36.59038,138.962332,True,3.491
10,10444,川場村,3,湯原地内,5,5,city,A_city_fallback,36.694683,139.106512,36.711178,139.113465,True,1.936
10,10521,板倉町,4,大字海老瀬,1,1,town,A_normalize,36.224719,139.655551,36.222874,139.649634,True,0.569
11,11101,さいたま市,1,大字清河寺,1,1,town,A_normalize,35.934798,139.584113,35.926247,139.575857,True,1.207
11,11109,さいたま市,2,東浦和,1,1,oaza,A_oaza_exact,35.867610,139.700518,35.861787,139.696593,True,0.738
11,11214,春日部市,3,南,2,2,city,A_city_fallback,35.975305,139.752409,35.977482,139.755237,True,0.351
11,11218,深谷市,4,大塚島地内,1,1,town,A_normalize,36.214019,139.266462,36.215851,139.268318,True,0.263
11,11218,深谷市,5,谷之地内,1,1,town,A_normalize,36.206267,139.266478,36.207257,139.267796,True,0.162
12,12206,木更津市,1,茅野地先,4,4,town,A_normalize,35.356375,140.065163,35.341962,140.091253,True,2.858
12,12206,木更津市,2,中島398地先,6,6,town,A_normalize,35.434688,139.917963,35.431867,139.916271,True,0.349
12,12206,木更津市,3,潮浜,3,3,oaza,A_oaza_exact,35.373282,139.910780,35.373232,139.910902,True,0.012
12,12206,木更津市,4,畑沢,1,1,town,A_normalize,35.342618,139.919759,35.343725,139.922066,True,0.243
12,12210,茂原市,5,上永吉1076-1 バックヤード1犬舎側,4,4,town,A_normalize,35.402568,140.286906,35.401245,140.295211,True,0.767
12,12210,茂原市,6,上永吉1076-1 バックヤード2側,4,4,town,A_normalize,35.402568,140.286906,35.40187,140.294436,True,0.687
12,12211,成田市,7,吉倉127-1 成田浄化センター処理棟,1,1,town,A_normalize,35.774730,140.344799,35.780769,140.339113,True,0.845
12,12211,成田市,8,東町地先,1,1,town,A_normalize,35.780760,140.321656,35.780686,140.323657,True,0.181
12,12225,君津市,9,貞元,2,2,town,A_normalize,35.318577,139.905074,35.319623,139.903934,True,0.156
13,13101,千代田区,1,永田町,1,1,oaza,A_oaza_exact,35.675472,139.743767,35.672922,139.744759,True,0.297
13,13102,中央区,2,京橋,1,1,oaza,A_oaza_exact,35.676737,139.771094,35.677356,139.775002,True,0.36
13,13103,港区,3,虎ノ門1丁目202番地1他,1,1,town,A_normalize,35.668358,139.749670,35.667932,139.749327,True,0.057
13,13113,渋谷区,4,渋谷,1,1,oaza,A_oaza_exact,35.659363,139.706572,35.660649,139.710155,True,0.354
13,13117,北区,5,滝野川6丁目14-3他,3,3,town,A_normalize,35.745180,139.724294,35.743706,139.72511,True,0.18
13,13201,八王子市,6,長沼町,1,1,town,A_normalize,35.642169,139.367759,35.647252,139.36136,True,0.809
13,13201,八王子市,7,八木町,1,1,town,A_normalize,35.661071,139.321762,35.661345,139.320667,True,0.104
13,13204,三鷹市,8,上連雀9-41(上連雀浄水所),1,1,town,A_normalize,35.686404,139.552522,35.687682,139.550281,True,0.247
13,13210,小金井市,9,貫井北1-577-1 西棟北側,1,1,town,A_normalize,35.702353,139.496261,35.7017,139.498372,True,0.204
13,13210,小金井市,10,貫井北1-577-1 東棟北側,1,1,town,A_normalize,35.702353,139.496261,35.7017,139.498372,True,0.204
13,13219,狛江市,11,猪方,2,5,oaza,A_oaza_exact,35.626020,139.579784,35.627161,139.582792,True,0.3
13,13224,多摩市,12,山王下,2,1,oaza,A_oaza_exact,35.626822,139.420479,35.628345,139.420087,True,0.173
