MUNI_CD,pref,county,city,ward,lon,lat
01648,北海道,足寄郡,陸別町,,143.747305,43.468914
01649,北海道,十勝郡,浦幌町,,143.658581,42.808947
01661,北海道,釧路郡,釧路町,,144.466081,42.996124
01662,北海道,厚岸郡,厚岸町,,144.847443,43.051951
01663,北海道,厚岸郡,浜中町,,145.131133,43.075949
01664,北海道,川上郡,標茶町,,144.600665,43.303337
01665,北海道,川上郡,弟子屈町,,144.459223,43.485352
01667,北海道,阿寒郡,鶴居村,,144.321165,43.23016
01668,北海道,白糠郡,白糠町,,144.071805,42.956161
01691,北海道,野付郡,別海町,,145.117341,43.39399
01692,北海道,標津郡,中標津町,,144.971504,43.555191
01693,北海道,標津郡,標津町,,145.131325,43.661309
01694,北海道,目梨郡,羅臼町,,145.189532,44.021953
01695,北海道,色丹郡,色丹村,,145.582903,43.330036
01696,北海道,国後郡,泊村,,145.582903,43.330036
01697,北海道,国後郡,留夜別村,,145.582903,43.330036
01698,北海道,択捉郡,留別村,,145.582903,43.330036
01699,北海道,紗那郡,紗那村,,145.582903,43.330036
01700,北海道,蘂取郡,蘂取村,,145.582903,43.330036
02201,青森県,,青森市,,140.74732,40.822358
02202,青森県,,弘前市,,140.464008,40.602965
02203,青森県,,八戸市,,141.488404,40.512278
02204,青森県,,黒石市,,140.594547,40.642608
02205,青森県,,五所川原市,,140.446075,40.807695
02206,青森県,,十和田市,,141.20591,40.612703
02207,青森県,,三沢市,,141.369093,40.683078
02208,青森県,,むつ市,,141.183174,41.292835
02209,青森県,,つがる市,,140.380195,40.808836
02210,青森県,,平川市,,140.566506,40.584114
02301,青森県,東津軽郡,平内町,,140.955884,40.92602300000001
02303,青森県,東津軽郡,今別町,,140.48161,41.181875
02304,青森県,東津軽郡,蓬田村,,140.656053,40.971779
02307,青森県,東津軽郡,外ヶ浜町,,140.632243,41.043159
02321,青森県,西津軽郡,鰺ヶ沢町,,140.233902,40.783011
02323,青森県,西津軽郡,深浦町,,139.927431,40.647876
02343,青森県,中津軽郡,西目屋村,,140.297277,40.577553
02361,青森県,南津軽郡,藤崎町,,140.502824,40.656064
02362,青森県,南津軽郡,大鰐町,,140.567878,40.518356
02367,青森県,南津軽郡,田舎館村,,140.550198,40.631259
02381,青森県,北津軽郡,板柳町,,140.457414,40.695896
02384,青森県,北津軽郡,鶴田町,,140.428702,40.758819
02387,青森県,北津軽郡,中泊町,,140.434113,40.96044
02401,青森県,上北郡,野辺地町,,141.128685,40.864447
02402,青森県,上北郡,七戸町,,141.157991,40.744714
02405,青森県,上北郡,六戸町,,141.324958,40.609526
02406,青森県,上北郡,横浜町,,141.247782,41.083155
02408,青森県,上北郡,東北町,,141.257888,40.727871
02411,青森県,上北郡,六ヶ所村,,141.374434,40.967375
02412,青森県,上北郡,おいらせ町,,141.397822,40.599104
02423,青森県,下北郡,大間町,,140.90483,41.522371
02424,青森県,下北郡,東通村,,141.3289,41.277726
02425,青森県,下北郡,風間浦村,,140.995534,41.487487
02426,青森県,下北郡,佐井村,,140.859175,41.429718
02441,青森県,三戸郡,三戸町,,141.25874,40.378423
02442,青森県,三戸郡,五戸町,,141.307813,40.531208
02443,青森県,三戸郡,田子町,,141.15215,40.34003
02445,青森県,三戸郡,南部町,,141.330464,40.420431
02446,青森県,三戸郡,階上町,,141.621001,40.452454
02450,青森県,三戸郡,新郷村,,141.1734,40.465784
03201,岩手県,,盛岡市,,141.154183,39.701795
03202,岩手県,,宮古市,,141.946133,39.639517
03203,岩手県,,大船渡市,,141.708547,39.081901
03205,岩手県,,花巻市,,141.116854,39.388609
03206,岩手県,,北上市,,141.11315700000003,39.286817
03207,岩手県,,久慈市,,141.775644,40.190466
03208,岩手県,,遠野市,,141.531463,39.33065
03209,岩手県,,一関市,,141.126759,38.934754
03210,岩手県,,陸前高田市,,141.633237,39.020372
03211,岩手県,,釜石市,,141.885716,39.27581
03213,岩手県,,二戸市,,141.304805,40.271193
03214,岩手県,,八幡平市,,141.07112,39.956511
03215,岩手県,,奥州市,,141.139116,39.144506
03216,岩手県,,滝沢市,,141.077065,39.734739000000005
03301,岩手県,岩手郡,雫石町,,140.975779,39.696319
03302,岩手県,岩手郡,葛巻町,,141.436719,40.03984
03303,岩手県,岩手郡,岩手町,,141.212166,39.972768
03321,岩手県,紫波郡,紫波町,,141.155782,39.554531
03322,岩手県,紫波郡,矢巾町,,141.143001,39.606006
03366,岩手県,和賀郡,西和賀町,,140.778754,39.317906
03381,岩手県,胆沢郡,金ケ崎町,,141.116408,39.195687
03402,岩手県,西磐井郡,平泉町,,141.11398,38.986781
03441,岩手県,気仙郡,住田町,,141.575065,39.142223
03461,岩手県,上閉伊郡,大槌町,,141.899731,39.358196
03482,岩手県,下閉伊郡,山田町,,141.948923,39.467619
03483,岩手県,下閉伊郡,岩泉町,,141.796675,39.843204
03484,岩手県,下閉伊郡,田野畑村,,141.888864,39.930454
03485,岩手県,下閉伊郡,普代村,,141.886014,40.005164
03501,岩手県,九戸郡,軽米町,,141.460349,40.326678
03503,岩手県,九戸郡,野田村,,141.817674,40.110272
03506,岩手県,九戸郡,九戸村,,141.418982,40.211356
03507,岩手県,九戸郡,洋野町,,141.71865,40.40829800000001
03524,岩手県,二戸郡,一戸町,,141.29546,40.21273300000001
04101,宮城県,,仙台市,青葉区,140.870378,38.269087
04102,宮城県,,仙台市,宮城野区,140.909841,38.266189
04103,宮城県,,仙台市,若林区,140.900748,38.24418
04104,宮城県,,仙台市,太白区,140.877212,38.224395
04105,宮城県,,仙台市,泉区,140.881615,38.326361
04202,宮城県,,石巻市,,141.302906,38.434457
04203,宮城県,,塩竈市,,141.02203,38.31436
04205,宮城県,,気仙沼市,,141.570044,38.908127
04206,宮城県,,白石市,,140.619888,38.002467
04207,宮城県,,名取市,,140.891849,38.171501
04208,宮城県,,角田市,,140.781543,37.977016
04209,宮城県,,多賀城市,,141.004369,38.293803
04211,宮城県,,岩沼市,,140.869949,38.104303
04212,宮城県,,登米市,,141.18772,38.691856
04213,宮城県,,栗原市,,141.021508,38.730062
04214,宮城県,,東松島市,,141.210278,38.426134
04215,宮城県,,大崎市,,140.955565,38.577132
04216,宮城県,,富谷市,,140.895485,38.399918
04301,宮城県,刈田郡,蔵王町,,140.65868,38.098128
04302,宮城県,刈田郡,七ヶ宿町,,140.441615,37.993063
04321,宮城県,柴田郡,大河原町,,140.730774,38.049412
04322,宮城県,柴田郡,村田町,,140.722404,38.118589
04323,宮城県,柴田郡,柴田町,,140.765798,38.056599
04324,宮城県,柴田郡,川崎町,,140.643188,38.17775100000001
04341,宮城県,伊具郡,丸森町,,140.765365,37.911536
04361,宮城県,亘理郡,亘理町,,140.867917,38.044251
04362,宮城県,亘理郡,山元町,,140.877529,37.962405
04401,宮城県,宮城郡,松島町,,141.067291,38.380149
04404,宮城県,宮城郡,七ヶ浜町,,141.059143,38.304554
04406,宮城県,宮城郡,利府町,,140.975793,38.330355
04421,宮城県,黒川郡,大和町,,140.88630900000004,38.43733
04422,宮城県,黒川郡,大郷町,,141.00446000000002,38.424244
04424,宮城県,黒川郡,大衡村,,140.879982,38.467278
04444,宮城県,加美郡,色麻町,,140.849876,38.548921
04445,宮城県,加美郡,加美町,,140.854759,38.57177
04501,宮城県,遠田郡,涌谷町,,141.128105,38.539704
04505,宮城県,遠田郡,美里町,,141.056717,38.5444
04581,宮城県,牡鹿郡,女川町,,141.442972,38.445417
04606,宮城県,本吉郡,南三陸町,,141.462552,38.680707
05201,秋田県,,秋田市,,140.102512,39.719929
05202,秋田県,,能代市,,140.026641,40.212131
05203,秋田県,,横手市,,140.566636,39.313777
05204,秋田県,,大館市,,140.5643629,40.27137212
05206,秋田県,,男鹿市,,139.8475,39.886721
